frame,timestamp,exercise,probability
<<<<<<< HEAD
1,1753622406.101425,push-ups,0.7887800335884094
2,1753622406.8438756,dips,0.784019947052002
3,1753622407.0731084,dips,0.9123831391334534
4,1753622407.7950625,squats,0.11248128861188889
5,1753622408.0248916,squats,0.037066683173179626
6,1753622408.80152,pull-ups,0.7237330675125122
7,1753622409.1603227,squats,0.0006788141909055412
8,1753622409.4013805,squats,0.029184771701693535
9,1753622409.6520512,pull-ups,0.7146397829055786
10,1753622410.233848,squats,0.025255581364035606
11,1753622410.8098738,squats,0.06918800622224808
12,1753622411.3225744,squats,0.0010394249111413956
13,1753622412.3920121,squats,0.049585167318582535
14,1753622412.9125416,squats,0.005666578188538551
15,1753622413.4466982,squats,0.5707806348800659
16,1753622413.9667196,dips,0.00680360896512866
17,1753622414.5366564,dips,0.007931354455649853
18,1753622415.060482,dips,0.8045806884765625
19,1753622415.5760195,squats,0.4767145812511444
20,1753622416.086931,squats,0.22922343015670776
21,1753622416.610961,squats,0.6419342160224915
22,1753622417.1602502,dips,0.004948833491653204
23,1753622418.2350628,dips,0.29773956537246704
24,1753622418.762487,pull-ups,0.09634696692228317
25,1753622419.2982988,pull-ups,0.21093463897705078
26,1753622419.838862,squats,0.791691243648529
27,1753622420.370635,dips,0.05853022262454033
28,1753622420.9115071,squats,0.7803040146827698
29,1753622421.4610207,dips,0.013211583718657494
30,1753622421.9836168,dips,4.636492667486891e-05
31,1753622422.497521,squats,0.19396668672561646
32,1753622423.0351164,squats,0.11546599864959717
33,1753622423.5647745,squats,0.2957228124141693
34,1753622424.0833607,push-ups,0.42877593636512756
35,1753622424.6314209,push-ups,0.8807356357574463
36,1753622425.1521473,push-ups,0.5678054690361023
37,1753622425.678273,push-ups,0.09460663050413132
38,1753622426.197945,push-ups,0.06016632169485092
39,1753622426.709785,push-ups,0.1758272349834442
40,1753622427.2515092,push-ups,0.13212905824184418
41,1753622427.7753117,push-ups,0.7259405851364136
42,1753622428.3081164,push-ups,0.778606653213501
43,1753622428.8439212,push-ups,0.5256944894790649
44,1753622429.3657534,push-ups,0.02515845000743866
45,1753622429.8905375,push-ups,0.04318178817629814
46,1753622430.406595,push-ups,0.19760248064994812
47,1753622430.937062,push-ups,0.3848450481891632
48,1753622431.4477656,push-ups,0.8382691740989685
49,1753622431.9988883,push-ups,0.5640769600868225
50,1753622432.5163743,push-ups,0.01925477758049965
51,1753622433.05382,push-ups,0.03168826550245285
52,1753622433.5669878,push-ups,0.054063476622104645
53,1753622434.0911891,push-ups,0.664434552192688
54,1753622434.6205683,push-ups,0.8045811057090759
55,1753622435.128949,push-ups,0.6009363532066345
56,1753622435.653053,push-ups,0.029241206124424934
57,1753622436.1840584,push-ups,0.03368709236383438
58,1753622436.7012827,squats,0.027052748948335648
59,1753622437.2369535,squats,0.055077847093343735
60,1753622437.7490623,push-ups,0.13918918371200562
61,1753622438.2956295,push-ups,0.06473826617002487
62,1753622438.8077736,dips,0.20416948199272156
63,1753622439.35707,pull-ups,0.5380784273147583
64,1753622439.8781102,pull-ups,0.8349233269691467
65,1753622440.4164648,pull-ups,0.3154919147491455
66,1753622440.9411561,pull-ups,0.0075104497373104095
67,1753622441.4609365,pull-ups,0.00417852820828557
68,1753622441.982013,pull-ups,0.031196095049381256
69,1753622442.496974,pull-ups,0.8435961008071899
70,1753622443.0291326,pull-ups,0.8176530003547668
71,1753622443.5727613,pull-ups,0.7283806204795837
72,1753622444.1051779,pull-ups,0.13129974901676178
73,1753622444.643292,pull-ups,0.006997960619628429
74,1753622445.1561198,pull-ups,0.016033826395869255
75,1753622445.6799781,pull-ups,0.5695312023162842
76,1753622446.1904826,pull-ups,0.838057279586792
77,1753622446.7203267,pull-ups,0.7332162261009216
78,1753622447.2548442,pull-ups,0.5657998919487
79,1753622447.79216,pull-ups,0.010608282871544361
80,1753622448.3133626,pull-ups,0.005814435891807079
81,1753622448.846412,pull-ups,0.010937849059700966
82,1753622449.3679762,pull-ups,0.06277541816234589
83,1753622449.889955,pull-ups,0.6208714246749878
84,1753622450.4175978,pull-ups,0.8912675380706787
85,1753622450.9444318,pull-ups,0.7633995413780212
86,1753622451.4874477,pull-ups,0.6410164833068848
87,1753622452.0046456,pull-ups,0.0847998708486557
88,1753622452.5302517,pull-ups,0.005868030712008476
89,1753622453.0814025,pull-ups,0.011861500330269337
90,1753622453.5963814,pull-ups,0.0691247507929802
91,1753622454.124348,pull-ups,0.7691559195518494
